08/20/2025 06:58:43 P,CHAR LENGHT,ID,VISIBILITY,"DATE 
ADDED",SKU,NAME,ADDITIONAL NOTES,APPLICATION NOTES,PART NUMBER,PRODUCT CATEGORY,TYPE,(OLD UPC),GTIN,YEAR,PRIMARY OEM,"Additional 
OEM#",Catalog Group,MANUFACTURER,MAKE 1,ENGINE 1,ENGINE 1,ENGINE 1,ENGINE 1,ENGINE 1,ENGINE 1,ENGINE 1,Condition,IS REMAN?,ASSOCIATED CORE,CORE TYPE,JUMPFLY CATEGORY,VENDOR,VENDOR PART NUMBER,NEW QB,QB ACCOUNT,WARRANTY, PRICE , Drive On Diesel Price , VENDOR COST , ACTUAL COST , EST COST ,PROFIT,PROFIT  %,WEIGHT,"CHARGE CORE
UPFRONT",HAS CORE, CORE PRICE ,"GROUP 
NUMBER",ADF,PRICE,Non Stocking Distributor, PRICE ,Stocking Distributor, PRICE ,Non Stocking WD, PRICE ,Stocking WD, PRICE ,10%, PRICE ,15%, PRICE 
08/20/2025 08:42:13 P,,3845,Both,4/24/2019,5011150R91,International Navistar MaxxForce DT Cylinder Head 2011-2014: OEM 5011150R91,Complete Cylinder Head with Valves,Note: Navistar used same casting number for more than one application. The difference is the I334 has 4 threaded holes at center exhaust port,5011150R91,Engine Components,Cylinder Head,086547487719,00840490504165,2011-2014,5011150R91,"7098211C92, 4307377R92, 7098547C92, 1881851C1, 1891091C91",N1,Navistar,International Navistar,MaxxForce DT,,,,,,,,Yes,"5011150R91#C, 5011150R91-C30",In House Core,Others,Tamerx,,Engine Parts/Other,Engine Parts/Other,One Million Miles or One Year," $ 3,495.00 "," $ 3,495.00 ",, $ 800.00 , $ 800.00 ,"$2,695.00",77.11%,300,NO,YES, $ 750.00 ,,FIXED PRICE,"$2,970.75",0%," $ 3,495.00 ",15.00%," $ 2,970.75 ",15.00%," $ 2,970.75 ",20.00%," $ 2,796.00 ",10.00%," $ 3,145.50 ",15.00%," $ 2,970.75 "
08/06/2025 06:22:19 P,,4001,Both,3/27/2020,5010878R91,International Navistar MaxxForce 7 Cylinder Head 2011-2013: OEM 5010878R91,"Intake square Round, Exhaust Port Round",,5010878R91,Engine Components,Cylinder Head,086547487627,00840490505131,2011-2013,5010878R91,"Casting# 1882917C2, 1882915C91, 1899235C92, 5010879R91",N4,Tamerx Diesel Products,International Navistar,MaxxForce 7,,,,,,,,Yes,"5010878R91#C, 5010878R91-C30",,Others,Tamerx,,Engine Parts/Other,Engine Parts/Other,One Million Miles or One Year," $ 1,595.00 "," $ 1,595.00 ", $ 400.00 , $ 450.00 , $ 925.00 ,"$1,145.00",71.79%,70,NO,YES, $ 500.00 ,,FIXED PRICE,"$1,493.45",15.00%," $ 1,355.75 ",15.00%," $ 1,355.75 ",15.00%," $ 1,355.75 ",20.00%," $ 1,276.00 ",10.00%," $ 1,435.50 ",15.00%," $ 1,355.75 "
04/19/2024 10:51:20 P,,6641,Both,11/11/2022,21593939TX,"Volvo D11, D13 DEF Doser Injector 2011-2014: OEM 21503939",,,21593939TX,Aftertreatment,DEF Doser Injector,86547497800,00840490511835,2011-2014,21503939,"21082971, 20996384, 20805774, 20996385, 20920745, 21089234",,Tamerx Diesel Products,Volvo,D11,D13,,,,,,,Yes,"21593939TX#C, 21593939TX-C30",In House Core,Others,Tamerx,21503939,Engine Parts/Other,Engine Parts/Other,One Million Miles or One Year, $ 755.00 , $ 755.00 , $ 390.00 , $ 390.00 , $ 400.00 ,$365.00,48.34%,3,NO,YES, $ 125.00 ,,FIXED PRICE,$505.75,0%, $ 755.00 ,0%, $ 755.00 ,15.00%, $ 641.75 ,25.00%, $ 566.25 ,10.00%, $ 679.50 ,15.00%, $ 641.75 
,,7341,Both,1/4/2023,21593939TX-2,"Mack MP7, MP8 DEF Doser Injector 2011-2014: OEM 21503939",,,21593939TX-2,Aftertreatment,DEF Doser Injector,86547500944,00840490514850,2011-2014,21503939,"21082971, 20996384, 20805774, 20996385, 20920745, 21089234",,Tamerx Diesel Products,Mack,MP7,MP8,,,,,,,Yes,"21593939TX-2#C, 21593939TX-2-C30",In House Core,Others,Tamerx,21503939,Engine Parts/Other,Engine Parts/Other,One Million Miles or One Year, $ 755.00 , $ 755.00 , $ 350.00 , $ 350.00 , $ 350.00 ,$405.00,53.64%,3,NO,YES, $ 125.00 ,,FIXED PRICE,$641.75,0%, $ 755.00 ,15.00%, $ 641.75 ,20.00%, $ 604.00 ,25.00%, $ 566.25 ,10.00%, $ 679.50 ,15.00%, $ 641.75 
08/30/2024 01:51:04 A,,8927,Both,11/28/2023,3004965C92,International Navistar MaxxForce 13 DEF Doser Injector 2011-2015: OEM 3004965C92,,,3004965C92,Aftertreatment,DEF Doser Injector,,00840490520530,2011-2015,3004965C92,,N3,Tamerx Diesel Products,International Navistar,MaxxForce 13,,,,,,,Remanufactured,Yes,"3004965C92#C, 3004965C92-C30",In House Core,Others,Tamerx,3004965C92,Engine Parts/Other,Engine Parts/Other,One Million Miles or One Year, $ 275.00 , $ 275.00 , $ 150.00 , $ 150.00 , $ 150.00 ,$125.00,45.45%,4,NO,YES, $ 200.00 ,,FIXED PRICE,$233.75,15.00%, $ 233.75 ,15.00%, $ 233.75 ,15.00%, $ 233.75 ,25.00%, $ 206.25 ,10.00%, $ 247.50 ,15.00%, $ 233.75 
,,13408,Both,4/24/2025,61030B-DM,Cummins ISB 6.7L DEF Doser Injector 2013-2021: OEM 61030B,,Tigercat,61030B-DM,Aftertreatment,DEF Doser Injector,,00840490536449,2013-2021,61030B,,C2,Tamerx Diesel Products,Cummins,ISB 6.7L,,,,,,,New,Yes,"61030B-DM#C, 61030B-DM-C30",In House Core,Others,Tamerx,61027B01,Aftertreatment,Aftertreatment,One Million Miles or One Year, $ 295.00 , $ 295.00 , $ 45.00 , $ 45.00 , $ 45.00 ,$250.00,84.75%,1,NO,YES,,,,,0%, $ 295.00 ,15.00%, $ 250.75 ,0%, $ 295.00 ,25.00%, $ 221.25 ,10.00%, $ 265.50 ,15.00%, $ 250.75 
05/05/2025 07:58:46 P,,13420,Both,4/24/2025,213330-DH,Cummins ISB 6.7L DEF Head Unit 2013-2021: OEM 213330,,Tigercat,213330-DH,Aftertreatment,DEF Head Unit,,00840490536487,2013-2021,213330,,C2,Tamerx Diesel Products,Cummins,ISB 6.7L,,,,,,,New,Yes,,In House Core,Others,Tamerx,61027B01,,,One Million Miles or One Year, $ 695.00 , $ 695.00 , $ 150.00 , $ 150.00 , $ 150.00 ,$545.00,78.42%,8,NO,NO,,,,,0%, $ 695.00 ,15.00%, $ 590.75 ,0%, $ 695.00 ,25.00%, $ 521.25 ,10.00%, $ 625.50 ,15.00%, $ 590.75 
,,12001,Both,8/23/2024,2871929RM,"Cummins ISL, ISC DOC Filter 2010-2014: OEM 2871929RX",,,2871929RM,Aftertreatment,DOC Filter,,00840490531024,2010-2014,2871929RX,,C3,Tamerx Diesel Products,Cummins,ISL,ISC,,,,,,Remanufactured,Yes,"2871929RM#C, 2871929RM-C30",In House Core,Others,Tamerx,2871929,Engine Parts/Other,Engine Parts/Other,One Million Miles or One Year," $ 1,937.00 "," $ 1,937.00 "," $ 1,800.00 "," $ 1,800.00 "," $ 1,800.00 ",$137.00,7.07%,65,NO,YES, $ 500.00 ,,FIXED PRICE,"$1,646.45",0%," $ 1,937.00 ",15.00%," $ 1,646.45 ",0%," $ 1,937.00 ",25.00%," $ 1,452.75 ",10.00%," $ 1,743.30 ",15.00%," $ 1,646.45 "
,,13396,Both,4/24/2025,62420B05-DOC,Cummins ISB 6.7L DOC Filter 2018-2021: OEM 62420B05,This is a OEM DOC Housing with New insert,Tigercat Tier 4,62420B05-DOC,Aftertreatment,DOC Filter,,00840490536401,2018-2021,62420B05,,C2,Tamerx Diesel Products,Cummins,ISB 6.7L,,,,,,,Remanufactured,Yes,"62420B05-DOC#C, 62420B05-DOC-C30",In House Core,Others,Tamerx,62420B05,Aftertreatment,Aftertreatment,One Million Miles or One Year," $ 2,850.00 "," $ 2,850.00 "," $ 1,500.00 "," $ 1,500.00 "," $ 1,500.00 ","$1,350.00",47.37%,38,NO,YES," $ 2,000.00 ",,,,0%," $ 2,850.00 ",15.00%," $ 2,422.50 ",0%," $ 2,850.00 ",25.00%," $ 2,137.50 ",10.00%," $ 2,565.00 ",15.00%," $ 2,422.50 "
,,13402,Both,4/24/2025,61027B01-DOC,Cummins ISB 6.7L DOC Filter 2013-2018: OEM 62420B05,This is a OEM DOC Housing with New insert,Tigercat,61027B01-DOC,Aftertreatment,DOC Filter,,00840490536425,2013-2018,62420B05,,C2,Tamerx Diesel Products,Cummins,ISB 6.7L,,,,,,,Remanufactured,Yes,"61027B01-DOC#C, 61027B01-DOC-C30",In House Core,Others,Tamerx,61027B01,Aftertreatment,Aftertreatment,One Million Miles or One Year," $ 3,750.00 "," $ 3,750.00 "," $ 1,500.00 "," $ 1,500.00 "," $ 1,500.00 ","$2,250.00",60.00%,38,NO,YES," $ 2,000.00 ",,,,0%," $ 3,750.00 ",15.00%," $ 3,187.50 ",0%," $ 3,750.00 ",25.00%," $ 2,812.50 ",10.00%," $ 3,375.00 ",15.00%," $ 3,187.50 "
,,13417,Both,4/24/2025,91894B01-DMP,Cummins ISB 6.7L Doser DEF Pump : OEM 91894B01,,Tigercat,91894B01-DMP,Aftertreatment,Doser DEF Pump,,00840490536470,,91894B01,,C2,Tamerx Diesel Products,Cummins,ISB 6.7L,,,,,,,Remanufactured,Yes,"91894B01-DMP#C, 91894B01-DMP-C30",In House Core,Others,Tamerx,61027B01,Aftertreatment,Aftertreatment,One Million Miles or One Year, $ 695.00 , $ 695.00 , $ 150.00 , $ 150.00 , $ 150.00 ,$545.00,78.42%,8,NO,YES, $ 250.00 ,,,,0%, $ 695.00 ,15.00%, $ 590.75 ,0%, $ 695.00 ,25.00%, $ 521.25 ,10.00%, $ 625.50 ,15.00%, $ 590.75 
,,12004,Both,8/23/2024,5579356RM,"Cummins ISL, ISC, ISX DPF Filter 2010-2014: OEM 5579356RX",,,5579356RM,Aftertreatment,DPF Filter,,00840490531031,2010-2014,5579356RX,5295605,C3,Tamerx Diesel Products,Cummins,ISL,ISC,ISX,,,,,Remanufactured,Yes,"5579356RM#C, 5579356RM-C30",In House Core,Others,Tamerx,5579356,Engine Parts/Other,Engine Parts/Other,One Million Miles or One Year," $ 1,595.00 "," $ 1,595.00 "," $ 1,375.00 "," $ 1,375.00 "," $ 1,375.00 ",$220.00,13.79%,55,NO,YES, $ 500.00 ,,FIXED PRICE,"$1,355.75",0%," $ 1,595.00 ",15.00%," $ 1,355.75 ",0%," $ 1,595.00 ",25.00%," $ 1,196.25 ",10.00%," $ 1,435.50 ",15.00%," $ 1,355.75 "
08/06/2025 06:45:35 P,,13043,Both,2/13/2025,2088082DPF,Paccar MX13 DPF Filter 2018-2021: OEM 2088082,,"Kenworth, Peterbuilt, EPA17",2088082DPF,Aftertreatment,DPF Filter,,00840490534780,2018-2021,2088082,,P1,Tamerx Diesel Products,Paccar,MX13,,,,,,,Remanufactured,Yes,"2088082DPF#C, 2088082DPF-C30",In House Core,Others,Tamerx,2088082,Engine Parts/Other,Engine Parts/Other,One Million Miles or One Year," $ 1,395.00 "," $ 1,395.00 ", $ 895.00 , $ 895.00 , $ 895.00 ,$500.00,35.84%,36,NO,YES, $ 500.00 ,,,,0%," $ 1,395.00 ",20.00%," $ 1,116.00 ",0%," $ 1,395.00 ",25.00%," $ 1,046.25 ",10.00%," $ 1,255.50 ",15.00%," $ 1,185.75 "
09/29/2025 01:41:01 P,,15333,Both,9/25/2025,20R3666RM,Caterpillar C13 DPF Filter 2015-2022: OEM 582-7467,,Excavator 352,20R3666RM,Aftertreatment,DPF Filter,00840490543140,00840490543140,2015-2022,"582-7467, 20R3666","582-7467, 5827467, 20R-3666, 20R-8034, 20R3666, 20R8034, 371-1896, 371-1897, 3711896, 3711897, 390-0637, 390-0673, 390-0675, 3900637, 3900673, 3900675, 535-7857, 535-7858, 5357857, 5357858, 546-2112, 5462112, D2016-SA, D2016SA, 707567AT",,Tamerx Diesel Products,Caterpillar,C13,,,,,,,,Yes,"20R3666RM#C, 20R3666RM-C30",In House Core,Others,Tamerx,,Aftertreatment,Aftertreatment,One Million Miles or One Year," $ 5,495.00 "," $ 5,495.00 "," $ 2,200.00 "," $ 2,200.00 "," $ 2,200.00 ","$3,295.00",59.96%,33,NO,YES," $ 1,500.00 ",,,,0%," $ 5,495.00 ",15.00%," $ 4,670.75 ",0%," $ 5,495.00 ",25.00%," $ 4,121.25 ",10.00%," $ 4,945.50 ",15.00%," $ 4,670.75 "
08/15/2025 09:02:28 P,,10,Both,10/13/2015,EGR079RM,Mercedes MBE4000 EGR Cooler 2007-2010: OEM A4601420979,,,EGR079RM,EGR Coolers / Valves,EGR Cooler,086547479264,00840490500006,2007-2010,A4601420979,,,Tamerx Diesel Products,Mercedes,MBE4000,,,,,,,,Yes,"EGR079RM#C, EGR079RM-C30",In House Core,EGR Coolers,Tamerx,,EGR,EGR,One Million Miles or One Year," $ 1,515.00 "," $ 1,515.00 ", $ 300.00 , $ 469.88 , $ 469.88 ,"$1,045.12",68.98%,27,NO,YES, $ 350.00 ,,FIXED PRICE,$517.37,15.00%," $ 1,287.75 ",30.00%," $ 1,060.50 ",25.00%," $ 1,136.25 ",30.00%," $ 1,060.50 ",10.00%," $ 1,363.50 ",15.00%," $ 1,287.75 "
08/13/2025 12:04:27 A,,12,Both,10/13/2015,EGR088RM,Cummins ISB 6.7L EGR Cooler 2007-2010: OEM 4943532,,,EGR088RM,EGR Coolers / Valves,EGR Cooler,086547479271,00840490500013,2007-2010,4943532,4946088NX,C2,Tamerx Diesel Products,Cummins,ISB 6.7L,,,,,,,,Yes,"EGR088RM#C, EGR088RM-C30",In House Core,EGR Coolers,Tamerx,,EGR,EGR,One Million Miles or One Year, $ 660.00 , $ 660.00 , $ 300.00 , $ 364.88 , $ 364.88 ,$295.12,44.72%,10,NO,YES, $ 200.00 ,,FIXED PRICE,$486.50,15.00%, $ 561.00 ,30.00%, $ 462.00 ,25.00%, $ 495.00 ,30.00%, $ 462.00 ,10.00%, $ 594.00 ,15.00%, $ 561.00 
08/13/2025 12:19:49 A,,14,Both,10/13/2015,EGR180RM,Detroit 60 Series EGR Cooler 2003: OEM 23533985,,,EGR180RM,EGR Coolers / Valves,EGR Cooler,086547489218,00840490500020,2003,23533985,,D1,Tamerx Diesel Products,Detroit,60 Series,,,,,,,,Yes,"EGR180RM#C, EGR180RM-C30",In House Core,EGR Coolers,Tamerx,,EGR,EGR,One Million Miles or One Year, $ 755.00 , $ 755.00 , $ 300.00 , $ 417.38 , $ 417.38 ,$337.62,44.72%,40,NO,YES, $ 500.00 ,,FIXED PRICE,$556.50,15.00%, $ 641.75 ,30.00%, $ 528.50 ,25.00%, $ 566.25 ,30.00%, $ 528.50 ,10.00%, $ 679.50 ,15.00%, $ 641.75 
04/26/2024 09:53:56 P,,16,Both,10/13/2015,EGR182RM,Dodge Ram Cummins 6.7L EGR Cooler 2009-2014: OEM 4988885,,,EGR182RM,EGR Coolers / Valves,EGR Cooler,086547479301,00840490500037,2009-2014,4988885,"68048988AA, 68003399AA, 4955921NX",,Tamerx Diesel Products,Dodge Ram,Cummins 6.7L,,,,,,,,Yes,"EGR182RM#C, EGR182RM-C30",In House Core,EGR Coolers,Tamerx,,EGR,EGR,One Million Miles or One Year, $ 850.00 , $ 850.00 , $ 300.00 , $ 469.88 , $ 469.88 ,$380.12,44.72%,14,NO,YES, $ 250.00 ,,FIXED PRICE,$556.50,15.00%, $ 722.50 ,30.00%, $ 595.00 ,25.00%, $ 637.50 ,30.00%, $ 595.00 ,10.00%, $ 765.00 ,15.00%, $ 722.50 
08/13/2025 12:17:59 A,,24,Both,10/13/2015,EGR340XD,Volvo D12 EGR Cooler 2003-2007: OEM 85110346,,,EGR340XD,EGR Coolers / Valves,EGR Cooler,086547489300,00840490500068,2003-2007,85110346,,VM5,Tamerx Diesel Products,Volvo,D12,,,,,,,,Yes,"EGR340XD#C, EGR340XD-C30",In House Core,EGR Coolers,Tamerx,,EGR,EGR,Two Million Miles or Two Years," $ 1,705.00 "," $ 1,705.00 ", $ 600.00 , $ 942.38 , $ 942.38 ,$762.62,44.73%,22,NO,YES, $ 350.00 ,,FIXED PRICE,"$1,256.50",15.00%," $ 1,449.25 ",30.00%," $ 1,193.50 ",25.00%," $ 1,278.75 ",30.00%," $ 1,193.50 ",10.00%," $ 1,534.50 ",15.00%," $ 1,449.25 "
08/13/2025 12:13:06 A,,31,Both,10/13/2015,EGR380RM,Cummins ISM EGR Cooler 2002-2006: OEM 4309506NX,,,EGR380RM,EGR Coolers / Valves,EGR Cooler,086547479394,00840490500075,2002-2006,4309506NX,,C6,Tamerx Diesel Products,Cummins,ISM,,,,,,,,Yes,"EGR380RM#C, EGR380RM-C30",In House Core,EGR Coolers,Tamerx,,EGR,EGR,One Million Miles or One Year," $ 1,135.00 "," $ 1,135.00 ", $ 300.00 , $ 627.38 , $ 627.38 ,$507.62,44.72%,25,NO,YES, $ 250.00 ,,FIXED PRICE,$766.50,15.00%, $ 964.75 ,30.00%, $ 794.50 ,25.00%, $ 851.25 ,30.00%, $ 794.50 ,10.00%," $ 1,021.50 ",15.00%, $ 964.75 
,,43,Both,10/13/2015,EGR469RM,Cummins ISM EGR Cooler 2007-2014: OEM 2881725RX,,,EGR469RM,EGR Coolers / Valves,EGR Cooler,086547479479,00840490500136,2007-2014,2881725RX,,C6,Tamerx Diesel Products,Cummins,ISM,,,,,,,,Yes,"EGR469RM#C, EGR469RM-C30",In House Core,EGR Coolers,Tamerx,,EGR,EGR,One Million Miles or One Year," $ 1,230.00 "," $ 1,230.00 ", $ 400.00 , $ 679.88 , $ 679.88 ,$550.12,44.73%,25,NO,YES, $ 350.00 ,,FIXED PRICE,$906.50,15.00%," $ 1,045.50 ",30.00%, $ 861.00 ,25.00%, $ 922.50 ,30.00%, $ 861.00 ,10.00%," $ 1,107.00 ",15.00%," $ 1,045.50 "
